Lung'Ie (Principense),Portugues,Tipo,Uso IA
hortaliças,otalisa                    C02,Vocabulario,Dicionário
ir para baixo,nda dêsê              T16,Vocabulario,Dicionário
hospital,xipitali                     L15,Vocabulario,Dicionário
ir para cima,nda subi               T16,Vocabulario,Dicionário
Hospital Novo,Xipitali Novu         T01,Vocabulario,Dicionário
íris,ikpe-uê                           T05,Vocabulario,Dicionário
Hospital Velho,Xipitali Ve          T01,Vocabulario,Dicionário
idioma,lunge                          L04,Vocabulario,Dicionário
igreja,gêêza                          C03,Vocabulario,Dicionário
ir-se embora,xyê ki (+POSS)         T17,Vocabulario,Dicionário
ilha,ie                               C01,Vocabulario,Dicionário
Ilha do Príncipe,Ie                 C01    3. pro. kusê; 4. pro. sê                  C01,Vocabulario,Dicionário
ilhéu,yew                             L13    isto 1. dem. kwisê; 2. pro. isê;,Vocabulario,Dicionário
imaginar,kuda                         L07    3. pro. kusê; 4. pro. sê                  C0,Vocabulario,Dicionário
importar-se,poota                     A03    izaquente n. ize                          L14,Vocabulario,Dicionário
indicador,udedu-di-musa               T05    jaca n. jaka                              C15,Vocabulario,Dicionário
indicar,ndika                         T04    janeiro n. zanêw                          T,Vocabulario,Dicionário
Infante Dom Henrique,Infantxi               jeito n. zêtu                             L14,Vocabulario,Dicionário
leite,lêtê                                       C08,Vocabulario,Dicionário
leitoa parturiente,obyomon                       T07,Vocabulario,Dicionário
lembrar,lemba                                    A03,Vocabulario,Dicionário
lenço,ulensu                                     C03,Vocabulario,Dicionário
ler,lê                                           C05,Vocabulario,Dicionário
leste,lextxi                                     C17,Vocabulario,Dicionário
joelho,"uzen, ôzen                          T05",Vocabulario,Dicionário
jogar,juga                                  L13,Vocabulario,Dicionário
jogar fora,zuga bota                    T17,Vocabulario,Dicionário
leve,levi                                      L10,Vocabulario,Dicionário
jogar futebol,zuga bola                 T17,Vocabulario,Dicionário
liberdade,libedadi                               C16,Vocabulario,Dicionário
jogar verde,tolo fala                   T17,Vocabulario,Dicionário
lição,lisan                                      C01,Vocabulario,Dicionário
jornalista,jonalixta                       C14,Vocabulario,Dicionário
liceu,lisêw                                      C10,Vocabulario,Dicionário
jovem,modeenu                              A01,Vocabulario,Dicionário
limpador,limpadô                                 C14,Vocabulario,Dicionário
julgar,juga                                T04,Vocabulario,Dicionário
limpar,limpa                                     L06,Vocabulario,Dicionário
julho,zulyu                                T03,Vocabulario,Dicionário
limpar a barra,limpa vogyan                   T16,Vocabulario,Dicionário
junho,zunhu                                T03,Vocabulario,Dicionário
limpo,limpu                                    C13,Vocabulario,Dicionário
língua,lunge                                     T05,Vocabulario,Dicionário
Linha do Equador,Kwêda Ekwadô                  C17,Vocabulario,Dicionário
juntar os pés,ruma ope                  T17,Vocabulario,Dicionário
lista,lixta                                      E06,Vocabulario,Dicionário
livro,livu                                       L14,Vocabulario,Dicionário
logo,logu                                      L06,Vocabulario,Dicionário
loja,loza                                        L03,Vocabulario,Dicionário
ladeira,ôkyê                               C17,Vocabulario,Dicionário
longe,lonji                                    C12,Vocabulario,Dicionário
lado,ukwatu                                C12,Vocabulario,Dicionário
lugar,"kumi, kumin                              L15",Vocabulario,Dicionário
lugar nenhum,kumi nho                          L15,Vocabulario,Dicionário
lamber,lolo                                T04,Vocabulario,Dicionário
lança,lansa                                C11,Vocabulario,Dicionário
Lapa,Lapa                                T01,Vocabulario,Dicionário
Luzia,Luja                                       L03,Vocabulario,Dicionário
laranja,laanza                             T02,Vocabulario,Dicionário
luzir,luji                                       L11,Vocabulario,Dicionário
largar,leega                               C08,Vocabulario,Dicionário
maçã,masan                                       T02,Vocabulario,Dicionário
largura,longu                              C17,Vocabulario,Dicionário
macaco,"ôkê, ôkyê                                 C06",Vocabulario,Dicionário
larva,okori                                T07,Vocabulario,Dicionário
"Actitis
larvas de peixe",bwê-bwê                    T07,Vocabulario,Dicionário
lavar,lava                                 C08,Vocabulario,Dicionário
"Numenius
lavar roupa",mani                            L15   phaeopus) n. masariku,Vocabulario,Dicionário
macerar,gbê                          C08   Manuel ant. Mene                            L,Vocabulario,Dicionário
machucado,"fiida                      L15   mão 1. n. uman; 2. n. uman             L05, T05",Vocabulario,Dicionário
machucar,fii                         L15   mar n. umwe                                 L0,Vocabulario,Dicionário
madrinha,mandya                      N09   marca n. maaka                             A03,Vocabulario,Dicionário
maduro,bôbôdu                      C08   marcar v. kumbina                          A03,Vocabulario,Dicionário
mãe,mwin                             L07   Marcelo ant. Maselu,Vocabulario,Dicionário
marcha,manxa                            C03,Vocabulario,Dicionário
maio,mayu                            T03   março n. maasu,Vocabulario,Dicionário
Maria Correia,Maa Kwaa                 T01,Vocabulario,Dicionário
marido,omi                               C01,Vocabulario,Dicionário
mais,maxi                          L04,Vocabulario,Dicionário
mais ou menos,malimentê            L01,Vocabulario,Dicionário
"Chenopodium
mal",mali                           L15   ambrosioides) n. ufya-madê,Vocabulario,Dicionário
malagueta,maakita                    L02   mata n. ôvyô                                C15,Vocabulario,Dicionário
malêbêbê,ufya-mali-bêbê              T15   mata fechada expr. umatu ôvyô               C1,Vocabulario,Dicionário
ufya-         matabala,ikôkô                           T09,Vocabulario,Dicionário
matabicho,matabisu                       L14,Vocabulario,Dicionário
mamão,maman                          T02,Vocabulario,Dicionário
mamar,mama                           C06,Vocabulario,Dicionário
matemática,matximatxika                  L10,Vocabulario,Dicionário
mamona,ufya-fugia                    T09,Vocabulario,Dicionário
mau,mali                               L15,Vocabulario,Dicionário
mandar,manda                         L05,Vocabulario,Dicionário
mecânico,mekaniku                        C14,Vocabulario,Dicionário
mandíbula,kaseda                     T05,Vocabulario,Dicionário
médico,dôtô                              C14,Vocabulario,Dicionário
mandioca,mondyoko                    T02,Vocabulario,Dicionário
medir,mindi                              C17,Vocabulario,Dicionário
maneirar,manya                       C07,Vocabulario,Dicionário
medo,mendu                               L10,Vocabulario,Dicionário
meia-noite,mê-unôtxi                    C03,Vocabulario,Dicionário
manga-maluca,manga-makaku            T09,Vocabulario,Dicionário
meio,metedi                              C12,Vocabulario,Dicionário
mangar,fêzê mangasan              T14,Vocabulario,Dicionário
"Momordica
manhã",pemya                          L03   charantia) n. ufya-sôfi,Vocabulario,Dicionário
manhã muito cedo,pemya wan        T12   melhorar 1. expr. da kô dêsê;,Vocabulario,Dicionário
manjericão,"maxkan                    C02   2. v. yogo                             T10, L15",Vocabulario,Dicionário
manteiga,mantega                     T02   melro (Turdus merula) n. meelu              T0,Vocabulario,Dicionário
manter,mantê                         C15   memória n. xintxidu,Vocabulario,Dicionário
mantimentos,mantximentu              C08   menino n. minu                              L03,Vocabulario,Dicionário
menos,menu                            L02    muito aberto expr. beetu wan,Vocabulario,Dicionário
menstruar,vê unwa                    T17    muito azul expr. zulu din,Vocabulario,Dicionário
mercado,fya                            C02     muito branco expr. baanku fenene,Vocabulario,Dicionário
mercearia,loza                          L03    muito escuro 1. expr. ukuru din;,Vocabulario,Dicionário
mesmo,mesu                            C01    muito estragado expr. danadu kotokoto,Vocabulario,Dicionário
metade,metedi                           C12    muito fedido expr. fedi sônôsônô,Vocabulario,Dicionário
metro,metu                              C17    muito fino expr. finu lekeleke,Vocabulario,Dicionário
muito frio,fyô kôkôkô                      T12,Vocabulario,Dicionário
mexericar,fala vonvon                T11    muito limpo expr. limpu penepene,Vocabulario,Dicionário
mil,mili                              L02    muito molhado expr. mwadu potopoto  T12,Vocabulario,Dicionário
milho,imin                              T02    muito novo expr. novu petepete,Vocabulario,Dicionário
mindinho,udedu-kitxi                   T05     muito pequeno expr. kitxi tololo,Vocabulario,Dicionário
moer,"dumu                              L04     muito quente expr. kentxi zuzuzu,",Vocabulario,Dicionário
muito rico,riku sônôsônô                   L08,Vocabulario,Dicionário
molho no fogo,môyô-n›ufôgu             T08,Vocabulario,Dicionário
muito seco,seku kparara                    T12,Vocabulario,Dicionário
momento,zo                              L07,Vocabulario,Dicionário
muito suado,swa potopoto                   T12,Vocabulario,Dicionário
morro,piku                    C15,Vocabulario,Dicionário
muito sujo,suzu kotokoto                   L06,Vocabulario,Dicionário
montar,tama santu                    T17,Vocabulario,Dicionário
muito tarde,taadi petepete                 T12,Vocabulario,Dicionário
Monte Alegre,Mantalegi                T01,Vocabulario,Dicionário
muito tensionado,tezadu ton                T12,Vocabulario,Dicionário
moqueca,mukeka                         C08,Vocabulario,Dicionário
muito velho,ve ketekete                    T12,Vocabulario,Dicionário
morcego,musegu                         C06,Vocabulario,Dicionário
muito verde,vêêdê petepete                 T12,Vocabulario,Dicionário
morder,môôdê                           T04,Vocabulario,Dicionário
morrer,mwê                              C11    expr. vêmê rarara                      T,Vocabulario,Dicionário
mosquito,mixikitu                       T07    mundo n. umundu,Vocabulario,Dicionário
mostrar,musa                            L11    musanda (Ficus annobonensis),Vocabulario,Dicionário
motorista,xoferi                        C14    musgo do mato (Lycopodiella,Vocabulario,Dicionário
movimentar,muvimenta                   C09,Vocabulario,Dicionário
nadar,landa                                   T04,Vocabulario,Dicionário
namorar,sopa urya                          T17,Vocabulario,Dicionário
não,ade                                 L01    nunca adv. maxi fa,Vocabulario,Dicionário
não aguentar mais,"po ma fa             T16    o quê 1. pro. kwa; 2. pro. kwêsa    L03, L02",Vocabulario,Dicionário
nariz,irixi                               T05    o que há de novo? expr. kwa fala,Vocabulario,Dicionário
Oba,Oba                            T01,Vocabulario,Dicionário
Natal,Natali                              C10    obra n. oba,Vocabulario,Dicionário
obrigação,bigasan                    C03,Vocabulario,Dicionário
obrigado,dêsu paga                 T11,Vocabulario,Dicionário
observação,ôbisêvasan                C12,Vocabulario,Dicionário
negrinha,nêginha                          T06,Vocabulario,Dicionário
ocá,uka                              C15,Vocabulario,Dicionário
nele,nêli                               C03,Vocabulario,Dicionário
nenhum,nho                              L02,Vocabulario,Dicionário
Nigéria,Nijya                          C04,Vocabulario,Dicionário
oitenta,wêtenta                    C17,Vocabulario,Dicionário
noite,unôtxi                              L03,Vocabulario,Dicionário
oito,wêtu                          C17,Vocabulario,Dicionário
noite cerrada,unôtxi pi                T12,Vocabulario,Dicionário
oitocentos,wêtusentu               C16,Vocabulario,Dicionário
noite escura,unôtxi petepete           T12,Vocabulario,Dicionário
nome,nomi                                 L01,Vocabulario,Dicionário
olhar,pya                            L02,Vocabulario,Dicionário
nordeste,nodextxi                         C17,Vocabulario,Dicionário
norte,nootxi                              C07,Vocabulario,Dicionário
Nossa Senhora,nunxya                      C01    n. uê-goosu                             T06,Vocabulario,Dicionário
Nossa Senhora do Socorro,Sôkôô            C03    Oliveiro ant. Olivêru                    C11,Vocabulario,Dicionário
ombro,lombô                          T05,Vocabulario,Dicionário
onde,"kumi, kumin                   L01",Vocabulario,Dicionário
Nova Cuba,Nova Kuba                     T01    onze num. onze                          C09,Vocabulario,Dicionário
Nova Estrela,Nova Teela                 T01    ora adv. ora                            C01,Vocabulario,Dicionário
novecentos,novesentu                    C12    ordenar v. gba                          C16,Vocabulario,Dicionário
novembro,novembu                          T03    orelha n. urya,Vocabulario,Dicionário
novidade,nova                             L06,Vocabulario,Dicionário
"Chrysococcyx
novo",novu                               L08    cupreus insularum) n. ôsôbô,Vocabulario,Dicionário
Novo Destino,Novu Dixtxinu              C13    ostentar 1. expr. fêzê luxu;,Vocabulario,Dicionário
noz-moscada da Jamaica,oyobo              T09    2. expr. fêzê ugalu                     T14,Vocabulario,Dicionário
nuca,taaxi-ôtô                            T05    Otakana top. Otakana,Vocabulario,Dicionário
outro,ôtô                           C01    parteira n. patxya,Vocabulario,Dicionário
outubro,ôtubu                         T03    partícula assertiva part. na,Vocabulario,Dicionário
ouvido,urya                           T05    partícula de negação part. fa,Vocabulario,Dicionário
ouvir,tendê                           L04    partícula de TMA 1. part. era;,Vocabulario,Dicionário
ouvir alguém,da urya                T11,Vocabulario,Dicionário
ovo,ovu                               C08,Vocabulario,Dicionário
padrão,padran                         C10,Vocabulario,Dicionário
partícula interrogativa,a                     L01,Vocabulario,Dicionário
padrinho,padin                        N09,Vocabulario,Dicionário
partícula reduzida de ka,a                    L08,Vocabulario,Dicionário
partícula reduzida de sa,a                    L08,Vocabulario,Dicionário
pai,pwe                               L09,Vocabulario,Dicionário
partícula vocativa,ê                          L08,Vocabulario,Dicionário
país,te                               C01,Vocabulario,Dicionário
Páscoa,Paxkwa                                    C10,Vocabulario,Dicionário
palavra,palava                        L04,Vocabulario,Dicionário
palestra,"palexta                      C12    3. v. vaa                              T04,",Vocabulario,Dicionário
paletó,palito                         C03    passar remédio da terra expr. bôlô ufya  T,Vocabulario,Dicionário
palha,paya                            C08    passarinho n. xibi,Vocabulario,Dicionário
palma,pweema                          T09    pássaro n. pasu,Vocabulario,Dicionário
palma da mão,bweega-uman              T05    passear v. paxya,Vocabulario,Dicionário
palmeira de andim,pweema              T09    pastel n. paxte                                     C,Vocabulario,Dicionário
panela tradicional,teempi              L14   pata-d’água n. pata-awa                             T0,Vocabulario,Dicionário
pano,upanu                            C02    pato-marinho n. pata-umwe,Vocabulario,Dicionário
panturilha,bweega-ope                 T05    patrão n. patran,Vocabulario,Dicionário
pão,umpan                             T02    Pau Fita top. Upa Fita,Vocabulario,Dicionário
papagaio,paage                        L06    pau-ama (Premna angolensis),Vocabulario,Dicionário
papel,pepelu                          C04,Vocabulario,Dicionário
paquerar,da kunfyansa              T10    n. upa-kaba,Vocabulario,Dicionário
par,pari                              C05    pau-esteira (Pandanus tho) n. upa-ise,Vocabulario,Dicionário
para,pa                            C01    pau-fede (Celtis gomphophylla),Vocabulario,Dicionário
para sempre,pô sempi               T16    n. upa-kwêdanu,Vocabulario,Dicionário
parabenizar,da viva                 T11   pau-ferro (Margaritaria discoidea),Vocabulario,Dicionário
parar,mundya                          C03,Vocabulario,Dicionário
pareado,paryadu                     C03,Vocabulario,Dicionário
pargo,akpawa                          T07,Vocabulario,Dicionário
paupérrimo,pobê vantenadu                     T16,Vocabulario,Dicionário
parir,da uê                         T11,Vocabulario,Dicionário
pau-pimenta,upa-usuda                            C08,Vocabulario,Dicionário
Parque Velho,Paakê Ve               T01,Vocabulario,Dicionário
perceber,bii uê                     T10,Vocabulario,Dicionário
perder,pêêdê                           C04,Vocabulario,Dicionário
er a posição em um emprego,upa-têêxi                               T15,Vocabulario,Dicionário
paz,paji                                C09,Vocabulario,Dicionário
perder a vergonha,limpa vogyan      T16,Vocabulario,Dicionário
perdiz,pedixi                          T06,Vocabulario,Dicionário
pé de feijão,upa-fenza                  C15,Vocabulario,Dicionário
pedir,pidi                               L16   2. v. pooda                           T,Vocabulario,Dicionário
periquito,pikitu                       T06,Vocabulario,Dicionário
Pedreira,Pêdrêra                      T01    perna 1. n. ope; 2. n. ope;,Vocabulario,Dicionário
pedreiro,"pêêdêw                         C14    3. n. pena                       L03, T05,",Vocabulario,Dicionário
peito,upêtu                             C16,Vocabulario,Dicionário
perseguir,kwê taaxi                 T14,Vocabulario,Dicionário
peito-branco,upêtu-baanku               T06,Vocabulario,Dicionário
peixe,pêxi                              C02,Vocabulario,Dicionário
peixe pega-na-pedra,lambê               T07,Vocabulario,Dicionário
pescador,pixkadô                       C14,Vocabulario,Dicionário
peixe prata,pêxi-paata                  T07,Vocabulario,Dicionário
pescoço,ôtô                            T05,Vocabulario,Dicionário
peixe sabonete,sabônêtê                 C06,Vocabulario,Dicionário
pessoa,ningê                           L01,Vocabulario,Dicionário
Picão,Pikan                          L01,Vocabulario,Dicionário
peixe-papagaio,pêxi-paage               T07    pica-peixe-de-peito-azul (Halcyon,Vocabulario,Dicionário
picar,tono                             T04,Vocabulario,Dicionário
pela manhã,pemya                      C02    Pico Menkoni top. Menkoni                 C17,Vocabulario,Dicionário
pelo,ifi-pene                           T05    Pico Papagaio top. Piku Paage,Vocabulario,Dicionário
pelo pubiano e axilar,ukundu            T05    pilão n. udumu                            T02,Vocabulario,Dicionário
penca de banana,"môyô                    L02    pimenta 1. n. pimentan; 2. n. usuda  L06, T02",Vocabulario,Dicionário
pimenta bolinha,usuda-malaka           T02,Vocabulario,Dicionário
pimentão,pimentan                      L06,Vocabulario,Dicionário
pensar em coletivo,zunta kabese  T17        pinha n. impin                            C08,Vocabulario,Dicionário
pepino,pipinu                           T02    Pinkêtê top. Pinkêtê,Vocabulario,Dicionário
pintar a parede,bôlô pwede          T10,Vocabulario,Dicionário
pintor,pintôru                         C14,Vocabulario,Dicionário
pequeno almoço,matabisu                  L14   piolho n. idu                             T07,Vocabulario,Dicionário
piorar,pyoro                            T04    Porto Real top. Pôôtô Ryali,Vocabulario,Dicionário
Portugal,Putuga                             L01,Vocabulario,Dicionário
piscar os olhos,gbene uê             T14    português 1. adj. putugêzê;,Vocabulario,Dicionário
plano,pete                            C17    2. n. putugêzê,Vocabulario,Dicionário
plantação,pantasan                      C15    posição n. pujisan,Vocabulario,Dicionário
pote de barro,akê                             T02,Vocabulario,Dicionário
pouco a pouco,ketê-ketê                     N05,Vocabulario,Dicionário
poder,podi                              C01    povo n. pôvô,Vocabulario,Dicionário
poderia,pudya                           L05    praia n. paa,Vocabulario,Dicionário
podre,podê                           C08     Praia Abade top. Paa Ubadê,Vocabulario,Dicionário
poema,pwêma                             C16    Praia Abelha top. Paa Bumbu,Vocabulario,Dicionário
poesia,pwêjya                           C16    Praia Banana top. Paa Baana,Vocabulario,Dicionário
polvo,pôlôvô                           C08     Praia Belo Monte top. Paa Belu Montxi,Vocabulario,Dicionário
Praia Boi,Paa Ubwê                          C13,Vocabulario,Dicionário
pombo,pombô                             T06    2. top. Paa Bwa,Vocabulario,Dicionário
ponta aguçada,ponta pyôpyô           T16    Praia Caju top. Paa Kazu                         T,Vocabulario,Dicionário
Ponta do Sol,Ponta Usolu              T01    Praia Estaleiro top. Xtalêw,Vocabulario,Dicionário
Ponta Museu,Ponta Muzêw               T01    Praia Évora top. Paa d’Eva,Vocabulario,Dicionário
por,pô                               L01    Praia General Fonseca top.,Vocabulario,Dicionário
pôr,pwê                                 L03    Paa Jênêrali Fonseka,Vocabulario,Dicionário
Praia Grande,Paa Gaani                      T13,Vocabulario,Dicionário
Praia Grande Sul,Paa Gaani Sulu             T13,Vocabulario,Dicionário
Praia Lapa,Paa Lapa                         T13,Vocabulario,Dicionário
Praia Macaco,Paa Makaku                     T13,Vocabulario,Dicionário
pôr defeito,pwê manha                T16,Vocabulario,Dicionário
Praia Margarida,Paa Magarida                T13,Vocabulario,Dicionário
por exemplo,pô zempu                 T16,Vocabulario,Dicionário
Praia Maria Correia,Paa Maa Kwaa  T13,Vocabulario,Dicionário
por favor,fê favô                    T11,Vocabulario,Dicionário
Praia Pequena,Paa Kêtê                      T13,Vocabulario,Dicionário
Praia Portinho,Paa Pôtxin                   L13,Vocabulario,Dicionário
Praia Rio de São Tomé,Paa Ôryô Santome                                 T13,Vocabulario,Dicionário
porco,pôôkô                             L03,Vocabulario,Dicionário
Praia Salgada,Paa Saagada                   T13,Vocabulario,Dicionário
Praia Seca,Paa Seka                         T13,Vocabulario,Dicionário
porta,pooto                             C03    Praia Sundy top. Paa Sundi,Vocabulario,Dicionário
Portinho,Pôtxin                       T01    Praia Tartaruga top. Paa Têtuuga,Vocabulario,Dicionário
Praia Uva,Paa Uva                      T13    puxada n. saada                            C,Vocabulario,Dicionário
Praia Xyaba,Paa Xyaba                  T13    puxar v. saa                               C06,Vocabulario,Dicionário
Prainha,Paanha                         C13    puxar conversa expr. tolo fala,Vocabulario,Dicionário
prato,"paatu                              L06    qual pro. kali, kwali",Vocabulario,Dicionário
prazer,pazê                              L09    qualquer adj. kwalke,Vocabulario,Dicionário
precipício,barara                        C17    quando 1. adv. ora;,Vocabulario,Dicionário
precipitado,ki fôlôgô ixima ixima  T14       2. pro. kantora; 3. pro. kidya;,Vocabulario,Dicionário
precisar,pixiza                          C02,Vocabulario,Dicionário
quanto,kantu                          L02,Vocabulario,Dicionário
pregar,pega                              T04,Vocabulario,Dicionário
quarenta,kwarenta                     C17,Vocabulario,Dicionário
pregar na parede,pega pwede           T16,Vocabulario,Dicionário
quarta-feira,kwata-fya                  T03,Vocabulario,Dicionário
preparar comida,tempa                    T04,Vocabulario,Dicionário
quarto,kwatu                            L10,Vocabulario,Dicionário
preparar o território,prepara usan  T16,Vocabulario,Dicionário
quatorze,katôzê                       C09,Vocabulario,Dicionário
preparo,kuxida                           E08,Vocabulario,Dicionário
quatro,kwatu                          C09,Vocabulario,Dicionário
presidente,pêzêdentê                     C14,Vocabulario,Dicionário
quatrocentos,kwatusentu               C17,Vocabulario,Dicionário
preso,peezu                            C11,Vocabulario,Dicionário
preto,"peetu                              T12    3. pro. ki                        L05,",Vocabulario,Dicionário
primeiro,pimyô                         C09    que dia pro. kidya,Vocabulario,Dicionário
primo,primu                             N09     que horas pro. kantora,Vocabulario,Dicionário
principense,lung’Ie                      C01    n. ufya-klêmentê-baanku             T15,Vocabulario,Dicionário
procurar,buka                             L11   quebrar 1. v. dana; 2. v. keba        L07,Vocabulario,Dicionário
produto,pudutu                           C15    queixo n. bêzu-bêzu,Vocabulario,Dicionário
professor,pôfêsô                         C04    quem pro. ningê,Vocabulario,Dicionário
programa,"pogama                          C04    quente adj. kentxi, kyentxi",Vocabulario,Dicionário
projeto,pojetu                           C04    querer v. mêsê,Vocabulario,Dicionário
pronome indefinido,a                   C01    queria v. kize                             L13,Vocabulario,Dicionário
próprio,"kaani                          C16    quiabo n. ukyebu, ukyabu",Vocabulario,Dicionário
prova,poova                              L10    quilômetro n. kilometu,Vocabulario,Dicionário
provar,poova                             L06    quinhentos num. kinhentu,Vocabulario,Dicionário
próximo,bweega-bweega                  C17    quinta-feira n. kinta-fya,Vocabulario,Dicionário
quintal,txyô                            C12,Vocabulario,Dicionário
pulmão,puluman                           T05    quinto num. kintu,Vocabulario,Dicionário
pulo,saatu                               A03    quinze num. kinji,Vocabulario,Dicionário
pulso,puusu                              T05    rabo-de-tesoura n. urabu-tujyan,Vocabulario,Dicionário
rilhar os dentes,kume idintxi                T14,Vocabulario,Dicionário
rachar-se de rir,rin da keba          T16    rim n. rinji                                       T,Vocabulario,Dicionário
rádio,radio                              C04    rio n. abya,Vocabulario,Dicionário
ralhar,kwê ki                         T14    riquíssimo expr. riku sônôsônô,Vocabulario,Dicionário
rancho da terra,ranxu-te                 T08    roça n. oso,Vocabulario,Dicionário
rancho do Príncipe,ranxu-Ie              C08    roda n. roda,Vocabulario,Dicionário
rodeado,rodyadu                               C13,Vocabulario,Dicionário
rapidamente,xinxan                     L04    rodilha n. ikiri,Vocabulario,Dicionário
rato,uratu                               C06    Rodrigo ant. Rôdrigi,Vocabulario,Dicionário
rédeas,redya                            A04     rogar praga expr. roga paaga,Vocabulario,Dicionário
feição de arroz com feijão,pintadu     T08    rola 1. n. lola; 2. n. pombô-umatu;,Vocabulario,Dicionário
refogar,refoga                           T04,Vocabulario,Dicionário
rola preta,lola-peetu                           T06,Vocabulario,Dicionário
regional,rejyonali                     C10,Vocabulario,Dicionário
rola vermelha,lola-ize                          T06,Vocabulario,Dicionário
rei,arê                                  C11,Vocabulario,Dicionário
rola-do-mar,lola-umwe                           T06,Vocabulario,Dicionário
relatividade,relatividadi                C12,Vocabulario,Dicionário
"Streptopelia
remediar",remedya                         T04    senegalensis) n. kurukuku,Vocabulario,Dicionário
remédio,kura                             L15    rosto n. ka,Vocabulario,Dicionário
roubar,vya uman                              T17,Vocabulario,Dicionário
repartição,repatxisan                    C14    rua n. uga,Vocabulario,Dicionário
repousar,kansa                           T04    Rua dos Trabalhadores top. Uga Tabaladô,Vocabulario,Dicionário
república,repubika                       C17    Rua Feliz top. Uga Filix,Vocabulario,Dicionário
resíduo de óleo de palma,mampata  T02           sábado n. sabudu                                   L03,Vocabulario,Dicionário
resolver,rôzôvê                          C11    sabão n. saban,Vocabulario,Dicionário
responder,kudi                           C01    saber v. sêbê,Vocabulario,Dicionário
responsável,rêxponsavêw                L16    Sabrina ant. Sabiina,Vocabulario,Dicionário
resto,rextu                              C15    safu (Dacryodes edulis) n. urumu,Vocabulario,Dicionário
saia,seya                                       C03,Vocabulario,Dicionário
Ribeira Forca,Abya Fooka               T01    saia-roxa (Datura metel) 1,Vocabulario,Dicionário
Ribeira Formiga,"Abya Fiminga           T01    . n. ufya-fitxisu; 2. n. ufya-peetu          T09,",Vocabulario,Dicionário
Ribeira Fria,Abya Fyô                  T01,Vocabulario,Dicionário
Ribeira Pipi,Abya Pipi                 T01,Vocabulario,Dicionário
sair correndo,xyê ki kwêda                   T17,Vocabulario,Dicionário
Ribeira San Kô,Abya San Kô             T01,Vocabulario,Dicionário
rico,riku                              L08,Vocabulario,Dicionário
rijo,rizu                              L10    n. kukumba,Vocabulario,Dicionário
segundo,sêgundu                      C05,Vocabulario,Dicionário
salto,saatu                              A03     segurar v. segwa,Vocabulario,Dicionário
seguro,segwadu                       C03,Vocabulario,Dicionário
seis,sêy                             C16,Vocabulario,Dicionário
seiscentos,sêysentu                  C06,Vocabulario,Dicionário
Santa Maria,Santa Maa                   T01,Vocabulario,Dicionário
selo,sêlu                              C12,Vocabulario,Dicionário
Santa Rosa,Santa Roza                   T01,Vocabulario,Dicionário
sem motivo,dudi                      L05,Vocabulario,Dicionário
semana,sumana                          L03,Vocabulario,Dicionário
Santo Antônio,Santantoni                L01,Vocabulario,Dicionário
semente,ikpe                           C08,Vocabulario,Dicionário
Santo Antônio Picão,senhor n. sume                            C01,Vocabulario,Dicionário
senhora,same                           C01,Vocabulario,Dicionário
Santo Antônio Segundo,Santantoni Sêgundu                           T01    sentado adj. tusandu,Vocabulario,Dicionário
Santo Cristo,Santu Kixtu                C10    sentar 1. expr. nhe kadya;,Vocabulario,Dicionário
sentido,xintxidu                       C16,Vocabulario,Dicionário
São João,San Zwan                       T01,Vocabulario,Dicionário
sentir,xintxi                          L08,Vocabulario,Dicionário
São Joaquim,San Zwakin                  C10,Vocabulario,Dicionário
sequíssimo,seku bôrôrô               L11,Vocabulario,Dicionário
São Tomé,Santome                        L08    ser arrogante 1. expr. tê fitxi;,Vocabulario,Dicionário
São Tomé e Príncipe,Santome ki Ie  T01,Vocabulario,Dicionário
ser cabeça-dura,tê fitxi            T17,Vocabulario,Dicionário
sapatear,sapatxya                         C03,Vocabulario,Dicionário
ser difícil,da tabwe                 T11,Vocabulario,Dicionário
ser doce,mene                           L12,Vocabulario,Dicionário
sapo,akarê                                T07    ser PASS 1. cop. era; 2. cop. tava,Vocabulario,Dicionário
saudação,bê                               L01    serrador n. seradô,Vocabulario,Dicionário
saudade,sawdadi                           L17    serviço n. xiivisu,Vocabulario,Dicionário
saúde,sawidi                              L06    servir 1. v. voga; 2. v. xiivi,Vocabulario,Dicionário
secador,sekadô                            L12    sete num. setxi,Vocabulario,Dicionário
secador de peixe,ukpami                   T02    setecentos num. setxisentu                C10,Vocabulario,Dicionário
seco,seku                               L12    setembro n. setembu,Vocabulario,Dicionário
secretário,seketaryu                      C14    setenta num. setenta,Vocabulario,Dicionário
século,sekulu                             C11    sétimo num. setximu,Vocabulario,Dicionário
seguinte,xigintxi                       C11    sexta-feira n. sêxta-fya,Vocabulario,Dicionário
segunda-feira,sêgunda-fya                 T03    sexto num. sêxtu                          C10,Vocabulario,Dicionário
tardar,taada                                      L07,Vocabulario,Dicionário
tarde,taadi                                       L02,Vocabulario,Dicionário
situação,kumba                         E04    tartaruga n. têtuuga,Vocabulario,Dicionário
sobrado,sobaadu                        C03    tartaruga ambulância (Dermochelys,Vocabulario,Dicionário
sobrancelha,pesena-uê                  T05    coriacea) n. têtuuga-warenga,Vocabulario,Dicionário
sobre,nixima                        C03    tartaruga de casco (Eretmochelys,Vocabulario,Dicionário
socar,da uman                        T11,Vocabulario,Dicionário
"Chelonia
social",sosiali                       C14    mydas) n. têtuuga-baanku,Vocabulario,Dicionário
